id,created_at,updated_at,country,average,count,s1,s2,s3,s4,s5,type,date_string
60,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.508,41521,2270,834,1649,5552,31216,ios,20160727
61,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,145697,8619,4391,8424,26435,97828,android,20160728
62,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.509,41593,2270,833,1651,5555,31284,ios,20160728
63,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,145697,8619,4391,8424,26435,97828,android,20160729
64,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.509,41622,2273,835,1648,5562,31304,ios,20160729
65,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,145697,8619,4391,8424,26435,97828,android,20160801
66,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.509,41705,2279,836,1652,5567,31371,ios,20160801
67,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,145697,8619,4391,8424,26435,97828,android,20160802
68,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.509,41775,2281,837,1656,5580,31421,ios,20160802
69,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.509,41865,2281,837,1657,5588,31502,ios,20160803
70,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,145697,8619,4391,8424,26435,97828,android,20160803
71,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,146441,8654,4403,8463,26566,98355,android,20160804
72,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.51,41932,2283,839,1659,5597,31554,ios,20160804
73,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,146441,8654,4403,8463,26566,98355,android,20160805
74,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.51,41976,2285,838,1660,5606,31587,ios,20160805
75,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,146441,8654,4403,8463,26566,98355,android,20160808
76,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.511,42195,2286,839,1666,5632,31772,ios,20160808
77,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.512,42251,2287,837,1668,5638,31821,ios,20160809
78,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,146441,8654,4403,8463,26566,98355,android,20160809
79,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,146441,8654,4403,8463,26566,98355,android,20160810
80,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.512,42251,2287,837,1668,5638,31821,ios,20160810
81,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.513,42370,2287,838,1668,5654,31923,ios,20160811
82,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,147225,8681,4421,8500,26708,98915,android,20160811
83,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,147225,8681,4421,8500,26708,98915,android,20160812
84,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.513,42370,2287,838,1668,5654,31923,ios,20160812
85,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.513,42551,2290,839,1673,5681,32068,ios,20160815
86,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,147225,8681,4421,8500,26708,98915,android,20160815
87,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.514,42633,2291,839,1674,5693,32136,ios,20160816
88,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,147225,8681,4421,8500,26708,98915,android,20160816
89,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,147225,8681,4421,8500,26708,98915,android,20160817
90,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.514,42686,2291,839,1675,5705,32176,ios,20160817
91,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,147225,8681,4421,8500,26708,98915,android,20160818
92,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.514,42686,2291,839,1675,5705,32176,ios,20160818
93,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.515,42792,2292,839,1676,5711,32274,ios,20160819
94,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.378,148351,8724,4434,8563,26942,99688,android,20160819
95,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.516,42957,2296,842,1677,5734,32408,ios,20160822
96,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.378,148351,8724,4434,8563,26942,99688,android,20160822
97,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.378,148351,8724,4434,8563,26942,99688,android,20160823
98,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.516,42957,2296,842,1677,5734,32408,ios,20160823
99,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.378,148351,8724,4434,8563,26942,99688,android,20160824
100,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.516,43026,2296,842,1681,5744,32463,ios,20160824
101,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,149157,8752,4454,8591,27131,100229,android,20160825
102,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.517,43154,2298,843,1680,5764,32569,ios,20160825
103,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,149157,8752,4454,8591,27131,100229,android,20160829
104,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.518,43350,2301,844,1686,5782,32737,ios,20160829
105,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,149157,8752,4454,8591,27131,100229,android,20160830
106,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.519,43437,2301,844,1691,5789,32812,ios,20160830
107,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,149157,8752,4454,8591,27131,100229,android,20160831
108,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.519,43437,2301,844,1691,5789,32812,ios,20160831
109,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.519,43494,2301,845,1691,5795,32862,ios,20160901
110,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,149157,8752,4454,8591,27131,100229,android,20160901
111,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160902
